time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	3685.34	0.0737067	3685.34	9.23	1099.93	1100	nan	1015.9	809.117	3685.34	4420.53	-737.067	0	0	1	0	0.931038	0.0689622	0	0	1	0	0
0.002	1100.000	4298	0.08596	4298	8.93	1099.91	1100	nan	1015.9	809.117	4298	4420.22	-122.532	0	0	1	0	0.880015	0.119985	0	0	1	0	0
0.003	1100.000	4399.85	0.087997	4399.85	8.76	1099.91	1100	nan	1015.9	809.117	4399.85	4420.17	-20.3705	0	0	0.999855	0.000144676	0.846547	0.153453	0	0	1	0	0
0.004	1100.000	4416.78	0.0883356	4416.78	8.64	1099.91	1100	nan	1015.9	809.117	4416.78	4420.16	-3.3865	0	0	0.999132	0.000868056	0.817033	0.182967	0	0	1	0	0
0.005	1100.000	4419.6	0.0883919	4419.6	8.54	1099.91	1100	nan	1015.9	809.117	4419.6	4420.16	-0.562989	0	0	0.999421	0.000578704	0.800154	0.199846	0	0	1	0	0
0.006	1100.000	4430.49	0.0886098	4430.49	8.47	1099.91	1100	nan	1015.9	809.118	4430.49	4420.15	-2.17811	0	0	0.999566	0.000434028	0.779803	0.220149	4.82253e-05	0	1	0	0
0.007	1100.000	4432.15	0.088643	4432.15	8.41	1099.91	1100	nan	1015.9	809.118	4432.15	4420.15	-0.332813	0	0	0.999421	0.000578704	0.766975	0.232976	4.82253e-05	0	1	0	0
0.008	1100.000	4444.91	0.0888982	4444.91	8.35	1099.91	1100	nan	1015.9	809.118	4444.91	4420.13	-2.55137	0	0	0.999277	0.00072338	0.758681	0.241223	9.64506e-05	0	1	0	0
0.009	1100.000	4446.83	0.0889367	4446.83	8.31	1099.91	1100	nan	1015.9	809.118	4446.83	4420.13	-0.384832	0	0	0.999421	0.000578704	0.757041	0.242863	9.64506e-05	0	1	0	0
0.01	1100.000	4447.16	0.0889431	4447.16	8.26	1099.91	1100	nan	1015.9	809.118	4447.16	4420.13	-0.0645377	0	0	0.999421	0.000578704	0.748071	0.251833	9.64506e-05	0	1	0	0
