time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	3685.34	0.0737067	3685.34	9.23	1099.93	1100	nan	1015.9	809.117	3685.34	4420.53	-737.067	0	0	1	0	0.934992	0.0650077	0	0	1	0	0
0.002	1100.000	4298	0.08596	4298	8.93	1099.91	1100	nan	1015.9	809.117	4298	4420.22	-122.532	0	0	1	0	0.885127	0.114873	0	0	1	0	0
0.003	1100.000	4399.85	0.087997	4399.85	8.76	1099.91	1100	nan	1015.9	809.117	4399.85	4420.17	-20.3705	0	0	0.999855	0.000144676	0.850598	0.149402	0	0	1	0	0
0.004	1100.000	4416.78	0.0883356	4416.78	8.64	1099.91	1100	nan	1015.9	809.117	4416.78	4420.16	-3.3865	0	0	0.999711	0.000289352	0.823978	0.176022	0	0	1	0	0
0.005	1100.000	4419.6	0.0883919	4419.6	8.54	1099.91	1100	nan	1015.9	809.117	4419.6	4420.16	-0.562989	0	0	1	0	0.800637	0.199363	0	0	1	0	0
0.006	1100.000	4420.07	0.0884013	4420.07	8.47	1099.91	1100	nan	1015.9	809.117	4420.07	4420.16	-0.0935944	0	0	0.999855	0.000144676	0.788677	0.211323	0	0	1	0	0
0.007	1100.000	4420.14	0.0884029	4420.14	8.41	1099.91	1100	nan	1015.9	809.117	4420.14	4420.16	-0.0155596	0	0	0.999566	0.000434028	0.777585	0.222415	0	0	1	0	0
0.008	1100.000	4420.16	0.0884031	4420.16	8.35	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-0.00258675	0	0	0.999566	0.000434028	0.765529	0.234471	0	0	1	0	0
0.009	1100.000	4420.16	0.0884032	4420.16	8.31	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-0.000432576	0	0	0.999566	0.000434028	0.753086	0.246914	0	0	1	0	0
0.01	1100.000	4420.16	0.0884032	4420.16	8.26	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-6.98583e-05	0	0	0.998987	0.00101273	0.748167	0.251833	0	0	1	0	0
0.011	1100.000	4420.16	0.0884032	4420.16	8.23	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.1305e-05	0	0	0.999132	0.000868056	0.740934	0.259066	0	0	1	0	0
0.012	1100.000	4420.16	0.0884032	4420.16	8.19	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.90084e-06	0	0	0.999132	0.000868056	0.737076	0.262924	0	0	1	0	0
0.013	1100.000	4420.16	0.0884032	4420.16	8.16	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-3.84262e-07	0	0	0.999132	0.000868056	0.732928	0.267072	0	0	1	0	0
0.014	1100.000	4420.16	0.0884032	4420.16	8.14	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.02318e-07	0	0	0.998843	0.00115741	0.730517	0.269483	0	0	1	0	0
0.015	1100.000	4420.16	0.0884032	4420.16	8.11	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-5.45697e-08	0	0	0.998698	0.00130208	0.725019	0.274981	0	0	1	0	0
0.016	1100.000	4420.16	0.0884032	4420.16	8.09	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-9.09495e-09	0	0	0.999566	0.000434028	0.725212	0.274788	0	0	1	0	0
0.017	1100.000	4420.16	0.0884032	4420.16	8.06	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	0	0	0	0.999132	0.000868056	0.722029	0.277971	0	0	1	0	0
0.018	1100.000	4428.09	0.0885617	4428.09	8.04	1099.91	1100	nan	1015.9	809.117	4428.09	4420.15	-1.58564	0	0	0.999421	0.000578704	0.725405	0.274547	4.82253e-05	0	1	0	0
0.019	1100.000	4429.26	0.0885853	4429.26	8.02	1099.91	1100	nan	1015.9	809.117	4429.26	4420.15	-0.235364	0	0	0.999132	0.000868056	0.729649	0.270303	4.82253e-05	0	1	0	0
0.02	1100.000	4429.46	0.0885892	4429.46	8	1099.91	1100	nan	1015.9	809.117	4429.46	4420.15	-0.039611	0	0	0.999421	0.000578704	0.729745	0.270206	4.82253e-05	0	1	0	0
0.021	1100.000	4421.7	0.0884341	4421.7	7.99	1099.91	1100	nan	1015.9	809.117	4421.7	4420.16	1.5517	0	0	0.999711	0.000289352	0.730903	0.269049	0	4.82253e-05	1	0	0
0.022	1100.000	4420.42	0.0884083	4420.42	7.97	1099.91	1100	nan	1015.9	809.117	4420.42	4420.16	0.257561	0	0	0.998698	0.00130208	0.729842	0.27011	0	4.82253e-05	1	0	0
0.023	1100.000	4420.2	0.088404	4420.2	7.96	1099.91	1100	nan	1015.9	809.117	4420.2	4420.16	0.0428187	0	0	0.998409	0.00159144	0.727623	0.272377	0	0	1	0	0
0.024	1100.000	4437.54	0.0887508	4437.54	7.94	1099.91	1100	nan	1015.9	809.118	4437.54	4420.14	-3.46735	0	0	0.998987	0.00101273	0.731096	0.268856	4.82253e-05	0	1	0	0
0.025	1100.000	4441.94	0.0888388	4441.94	7.93	1099.91	1100	nan	1015.9	809.118	4441.94	4420.13	-0.879909	0	0	0.998987	0.00101273	0.730131	0.269772	9.64506e-05	0	1	0	0
0.026	1100.000	4423.77	0.0884754	4423.77	7.91	1099.91	1100	nan	1015.9	809.117	4423.77	4420.16	3.634	0	0	0.998843	0.00115741	0.731674	0.268277	0	4.82253e-05	1	0	0
0.027	1100.000	4420.76	0.0884152	4420.76	7.9	1099.91	1100	nan	1015.9	809.117	4420.76	4420.16	0.601804	0	0	0.998698	0.00130208	0.725791	0.274209	0	0	1	0	0
0.028	1100.000	4420.26	0.0884051	4420.26	7.89	1099.91	1100	nan	1015.9	809.117	4420.26	4420.16	0.100384	0	0	0.999277	0.00072338	0.72338	0.27662	0	0	1	0	0
0.029	1100.000	4420.17	0.0884035	4420.17	7.88	1099.91	1100	nan	1015.9	809.117	4420.18	4420.16	0.0164118	0	0	0.998698	0.00130208	0.72608	0.27392	0	0	1	0	0
0.03	1100.000	4420.16	0.0884032	4420.16	7.87	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	0.0026698	0	0	0.998987	0.00101273	0.717689	0.282311	0	0	1	0	0
0.031	1100.000	4420.16	0.0884032	4420.16	7.86	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	0.000443895	0	0	0.999132	0.000868056	0.72309	0.27691	0	0	1	0	0
0.032	1100.000	4420.16	0.0884032	4420.16	7.85	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	7.38282e-05	0	0	0.998987	0.00101273	0.721258	0.278742	0	0	1	0	0
0.033	1100.000	4420.16	0.0884032	4420.16	7.84	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	1.22668e-05	0	0	0.998409	0.00159144	0.718364	0.281636	0	0	1	0	0
0.034	1100.000	4430.92	0.0886185	4430.92	7.83	1099.91	1100	nan	1015.9	809.118	4430.92	4420.15	-2.15305	0	0	0.99783	0.00217014	0.717978	0.281973	4.82253e-05	0	1	0	0
