time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	3685.34	0.0737067	3685.34	9.23	1099.93	1100	nan	1015.9	809.117	3685.34	4420.53	-737.067	0	0	0.999855	0.000144676	0.93316	0.0668403	0	0	1	0	0
0.002	1100.000	4298	0.08596	4298	8.93	1099.91	1100	nan	1015.9	809.117	4298	4420.22	-122.532	0	0	0.999855	0.000144676	0.882137	0.117863	0	0	1	0	0
0.003	1100.000	4399.85	0.087997	4399.85	8.76	1099.91	1100	nan	1015.9	809.117	4399.85	4420.17	-20.3705	0	0	0.999711	0.000289352	0.843461	0.156539	0	0	1	0	0
0.004	1100.000	4416.78	0.0883356	4416.78	8.64	1099.91	1100	nan	1015.9	809.117	4416.78	4420.16	-3.3865	0	0	0.999855	0.000144676	0.812982	0.187018	0	0	1	0	0
0.005	1100.000	4419.6	0.0883919	4419.6	8.54	1099.91	1100	nan	1015.9	809.117	4419.6	4420.16	-0.562989	0	0	1	0	0.790992	0.209008	0	0	1	0	0
0.006	1100.000	4420.07	0.0884013	4420.07	8.47	1099.91	1100	nan	1015.9	809.117	4420.07	4420.16	-0.0935944	0	0	1	0	0.774498	0.225502	0	0	1	0	0
0.007	1100.000	4420.14	0.0884029	4420.14	8.41	1099.91	1100	nan	1015.9	809.117	4420.14	4420.16	-0.0155596	0	0	0.999711	0.000289352	0.762731	0.237269	0	0	1	0	0
0.008	1100.000	4420.16	0.0884031	4420.16	8.35	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-0.00258675	0	0	0.999566	0.000434028	0.75463	0.24537	0	0	1	0	0
0.009	1100.000	4420.16	0.0884032	4420.16	8.31	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-0.000432576	0	0	0.999132	0.000868056	0.742573	0.257427	0	0	1	0	0
0.01	1100.000	4420.16	0.0884032	4420.16	8.26	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-6.98583e-05	0	0	0.999566	0.000434028	0.738715	0.261285	0	0	1	0	0
0.011	1100.000	4420.16	0.0884032	4420.16	8.23	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.1305e-05	0	0	0.999277	0.00072338	0.735243	0.264757	0	0	1	0	0
0.012	1100.000	4425.35	0.0885069	4425.35	8.19	1099.91	1100	nan	1015.9	809.117	4425.35	4420.15	-1.03728	0	0	0.999421	0.000578704	0.731867	0.268084	4.82253e-05	0	1	0	0
0.013	1100.000	4426.13	0.0885225	4426.13	8.16	1099.91	1100	nan	1015.9	809.117	4426.13	4420.15	-0.15625	0	0	0.999277	0.00072338	0.732542	0.267409	4.82253e-05	0	1	0	0
0.014	1100.000	4426.26	0.0885251	4426.26	8.14	1099.91	1100	nan	1015.9	809.117	4426.26	4420.15	-0.026214	0	0	0.999132	0.000868056	0.73341	0.266541	4.82253e-05	0	1	0	0
0.015	1100.000	4429.75	0.088595	4429.75	8.11	1099.91	1100	nan	1015.9	809.117	4429.75	4420.15	-0.698836	0	0	0.998843	0.00115741	0.729745	0.270158	9.64506e-05	0	1	0	0
0.016	1100.000	4430.28	0.0886057	4430.28	8.09	1099.91	1100	nan	1015.9	809.117	4430.28	4420.15	-0.106255	0	0	0.998409	0.00159144	0.727045	0.272859	9.64506e-05	0	1	0	0
0.017	1100.000	4425.26	0.0885053	4425.26	8.06	1099.91	1100	nan	1015.9	809.117	4425.26	4420.15	1.00395	0	0	0.998987	0.00101273	0.726177	0.273727	4.82253e-05	4.82253e-05	1	0	0
0.018	1100.000	4424.43	0.0884886	4424.43	8.04	1099.91	1100	nan	1015.9	809.117	4424.43	4420.15	0.166383	0	0	0.998843	0.00115741	0.723765	0.276138	4.82253e-05	4.82253e-05	1	0	0
0.019	1100.000	4424.29	0.0884859	4424.29	8.02	1099.91	1100	nan	1015.9	809.117	4424.29	4420.15	0.0276528	0	0	0.999277	0.00072338	0.726466	0.273438	4.82253e-05	4.82253e-05	1	0	0
0.02	1100.000	4424.27	0.0884854	4424.27	8	1099.91	1100	nan	1015.9	809.117	4424.27	4420.15	0.00459579	0	0	0.998553	0.00144676	0.724537	0.275415	4.82253e-05	0	1	0	0
0.021	1100.000	4424.27	0.0884853	4424.27	7.99	1099.91	1100	nan	1015.9	809.117	4424.27	4420.15	0.000763846	0	0	0.998843	0.00115741	0.723958	0.275993	4.82253e-05	0	1	0	0
0.022	1100.000	4435	0.0886999	4435	7.97	1099.91	1100	nan	1015.9	809.118	4435	4420.14	-2.14603	0	0	0.999132	0.000868056	0.726562	0.273341	9.64506e-05	0	1	0	0
